#第一幕・依頼
田中探偵,いらっしゃいませ。田中探偵事務所へようこそ。
山本,突然お邪魔して申し訳ありません。実は……折り入ってご相談が。
田中探偵,どうぞ、こちらにおかけください。佐藤くん、お茶を。
佐藤,はい、ただいま。
山本,先週から、会社の金庫からお金が少しずつ消えているんです。
田中探偵,ほう。金額は？
山本,合計で三十万円ほどです。鍵を持っているのは、私と鈴木部長の二人だけで。
佐藤,社員の方は何人いらっしゃいますか？
山本,十二人です。でも金庫の鍵は厳重に管理していました。
田中探偵,なるほど。鈴木部長とは、どのようなお方ですか？
山本,二十年来の付き合いで、信頼できる人物だと思っていたのですが……。
田中探偵,わかりました。調査を引き受けましょう。
#第二幕・調査
佐藤,先生、会社の防犯カメラの映像を確認しました。
田中探偵,何か映っていたかい？
佐藤,金庫室の前に、深夜二時ごろ人影が。でも顔は映っていません。
田中探偵,体格は？
佐藤,がっしりした男性です。鈴木部長と一致するかもしれません。
鈴木,……私を疑っているんですか。
田中探偵,鈴木さん、いつからここに？
鈴木,さっきからいましたよ。疑われるなら、アリバイを申し上げましょうか。
佐藤,先生……。
田中探偵,落ち着いて。鈴木さん、先週の火曜の深夜、どちらにいましたか？
鈴木,自宅で寝ていました。妻が証人です。
田中探偵,ありがとうございます。参考にさせていただきます。
鈴木,本当に、私じゃないんです。むしろ、犯人を捕まえてほしい。
#第三幕・解決
山本,探偵さん、何かわかりましたか？
田中探偵,ええ。犯人はわかりました。
佐藤,えっ、本当ですか！
田中探偵,鍵を複製した人物がいます。鈴木部長ではない。
山本,では……誰が？
田中探偵,カメラに映った人影、よく見ると手に傷があります。先週、指を怪我した人は？
佐藤,あ……それって、倉庫担当の吉田さんでは。
山本,吉田が？でも彼は金庫の鍵など持っていないはずです。
田中探偵,鍵師に複製を頼んでいました。一ヶ月前に山本さんの鍵を、少しの間借りましたよね？
山本,そ、そういえば……落としたといって戻ってきたことが。
田中探偵,その間に複製したんです。
佐藤,先生、さすがです！
田中探偵,山本さん、あとは警察にお任せを。
山本,ありがとうございました。本当に助かりました。
田中探偵,佐藤くん、次の依頼人が来る前にお茶を一杯もらえるか。
佐藤,はいはい、ただいま！
